대여소번호,대여소명,전체이용건수,전체이용건수_점수,평일출근비중,평일출근비중_점수,평일퇴근비중,평일퇴근비중_점수,주말비중,주말비중_점수,총합점수
"2715","2715.마곡나루역 2번 출구",173645,5,21.61%,5,24.73%,5,20.16%,1,16
"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",122673,5,12.92%,3,29.86%,5,25.53%,3,16
"2728","2728.마곡나루역 3번 출구",121698,5,19.90%,4,25.22%,5,16.18%,1,15
"2701","2701. 마곡나루역 5번출구 뒤편",114953,5,35.88%,5,23.45%,5,14.40%,1,16
"5515","5515.한강버스 망원 선착장",97178,5,2.55%,1,14.75%,2,44.06%,5,13
"1153","""1153. 발산역 1번, 9번 인근 대여소""",96067,5,11.73%,2,19.43%,4,22.88%,2,13
"230","230. 영등포구청역 7번출구",90789,5,20.93%,4,21.17%,4,20.86%,1,14
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",88882,5,11.36%,2,19.67%,4,32.46%,5,16
"2622","2622. 올림픽공원역 3번출구",79556,5,13.26%,3,20.29%,4,30.84%,5,17
"2608","2608. 송파구청",79455,5,10.63%,2,23.65%,5,28.54%,5,17
"1124","1124. 발산역 6번 출구 뒤",72977,5,11.57%,2,22.05%,4,25.67%,3,14
"1911","1911. 구로디지털단지역 앞",70484,5,17.86%,4,24.66%,5,21.64%,2,16
"792","792.목동트라팰리스 웨스턴에비뉴",70074,5,3.53%,1,20.23%,4,28.74%,5,15
"769","769.CBS방송국 앞",69556,5,4.45%,1,24.52%,5,31.47%,5,16
"4217","4217. 한강공원 망원나들목",69466,5,4.88%,1,14.34%,2,39.39%,5,13
"3533","3533. 건대입구역 사거리(롯데백화점)",68937,5,9.13%,2,19.06%,4,29.90%,5,16
"247","247. 당산역 10번출구 앞",67725,5,13.70%,3,24.40%,5,24.57%,3,16
"785","""785.양천구청, 보건소 사잇길""",67616,5,7.00%,1,24.12%,5,23.73%,2,13
"4870","4870. 몽촌토성역 3번 출구",67510,5,11.25%,2,19.59%,4,27.67%,4,15
"272","272. 당산육갑문",67379,5,9.41%,2,19.64%,4,32.45%,5,16
"1160","1160. 양천향교역 7번출구앞",67279,5,16.69%,4,20.56%,4,21.69%,2,15
"1166","1166. 강서구립등빛도서관",67255,5,22.10%,5,15.88%,3,24.06%,2,15
"3939","3939.신도림역 3번출구",67072,5,10.98%,2,30.24%,5,24.58%,3,15
"5052","5052. 마곡역 7번출구",66948,5,20.72%,4,26.37%,5,18.45%,1,15
"765","765. 오목교역 3번출구",66480,5,7.72%,1,20.84%,4,29.13%,5,15
"4565","4565. 영등포 신세계백화점",66307,5,5.05%,1,23.62%,5,33.55%,5,16
"2102","2102. 봉림교 교통섬",65867,5,6.66%,1,16.73%,3,31.39%,5,14
"5768","5768.방이삼거리",64144,5,10.37%,2,17.47%,3,27.95%,4,14
"2733","2733.마곡13단지 정문 앞",63937,5,30.76%,5,11.18%,1,22.77%,2,13
"3798","3798. 그랜드아이파크아파트 앞",63748,5,27.06%,5,15.55%,2,22.62%,2,14
"583","583. 청계천 생태교실 앞",62641,5,8.36%,1,16.46%,3,36.65%,5,14
"2721","2721.등촌1-10단지 교차로",62188,5,25.21%,5,21.02%,4,18.99%,1,15
"5891","5891.한강버스 여의도 선착장",61488,5,1.36%,1,17.51%,3,42.71%,5,14
"5082","5082. 가양역 7번출구",61448,5,13.74%,3,25.02%,5,21.90%,2,15
"2620","2620. 송파나루역 4번 출구옆",61183,5,13.60%,3,17.39%,3,28.42%,5,16
"529","529. 장한평역 8번 출구 앞",60925,5,25.26%,5,22.20%,4,17.15%,1,15
"1050","1050.  둔촌역 3번 출입구",60119,5,13.71%,3,17.48%,3,25.26%,3,14
"113","113. 홍대입구역 2번출구 앞",59869,5,12.02%,2,28.13%,5,22.79%,2,14
"1906","1906. 신도림역 1번 출구 앞",59498,5,21.99%,5,25.63%,5,22.45%,2,17
"1151","1151. 마곡역1번출구",59399,5,17.81%,4,24.27%,5,20.96%,2,16
"5858","5858. 영등포역5번출구",59215,5,20.23%,4,16.08%,3,26.32%,4,16
"3534","3534. 건대입구역 5번출구 뒤",58808,5,10.89%,2,18.23%,3,27.10%,4,14
"5153","5153.한강버스 뚝섬 선착장",58351,5,2.04%,1,17.70%,3,40.97%,5,14
"508","508. 성수아카데미타워 앞",57587,5,25.70%,5,24.73%,5,15.94%,1,16
"1009","1009. 천호역4번출구(현대백화점)",57506,5,7.94%,1,24.35%,5,28.51%,5,16
"1867","1867.대륭포스트타워6차 앞",56544,5,19.18%,4,36.33%,5,13.29%,1,15
"2717","2717.LG유플러스 마곡사옥",56514,5,7.27%,1,48.09%,5,8.16%,1,12
"1222","1222. 잠실새내역 5번 출구 뒤",55811,5,9.11%,2,19.31%,4,28.31%,5,16
"781","781.신정보도육교 아래",55742,5,27.23%,5,13.97%,2,24.29%,3,15
"3518","3518. 군자역 7번출구뒤",55695,5,18.10%,4,20.80%,4,22.50%,2,15
"1625","1625. 상계역 3번출구",55091,5,14.80%,3,17.10%,3,25.37%,3,14
"4574","4574. 영등포시장역 포레나영등포",54936,5,16.58%,4,20.69%,4,24.05%,2,15
"1112","1112. 마곡엠밸리4단지 정문",54666,5,13.13%,3,20.43%,4,23.81%,2,14
"1152","1152. 마곡역교차로",54446,5,14.38%,3,27.21%,5,19.02%,1,14
"4543","4543. 오목교역 6번 출구",53602,5,12.14%,2,24.03%,5,25.17%,3,15
"2739","2739.수명산파크1단지교차로",53373,5,28.49%,5,13.06%,1,22.34%,2,13
"4457","4457. 아산병원 기숙사 부근",53097,5,6.67%,1,29.46%,5,16.13%,1,12
"726","726. 목동3단지 시내버스정류장",52964,5,22.12%,5,14.38%,2,25.01%,3,15
"585","585. 성수2가1동 공영주차장 인근",52416,5,16.23%,3,18.47%,3,27.41%,4,15
"797","797.목동아파트 1422동 1434동 사잇길",52209,5,21.59%,5,15.34%,2,25.89%,3,15
"708","708. 서울출입국관리사무소 앞",52154,5,13.94%,3,20.06%,4,24.03%,2,14
"5784","5784.한강버스 잠실 선착장",51916,5,3.13%,1,14.49%,2,46.31%,5,13
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",51646,5,20.92%,4,16.18%,3,23.68%,2,14
"3569","3569.건대병원후문",51584,5,14.45%,3,18.12%,3,21.65%,2,13
"4571","4571. 문래동롯데캐슬아파트",51277,5,24.26%,5,18.50%,3,22.73%,2,15
"1158","1158. 가양역 8번출구",51228,5,14.72%,3,21.51%,4,22.36%,2,14
"1190","1190. 마곡역 교차로(2번출구)",51145,5,12.10%,2,25.70%,5,23.43%,2,14
"770","770.목동역5번출구",50444,5,14.99%,3,23.06%,5,19.58%,1,14
"1078","1078.둔촌사거리",49945,5,14.40%,3,14.27%,2,30.95%,5,15
"5781","5781. 올림픽공원 수영장",49519,5,15.27%,3,12.86%,1,23.09%,2,11
"4561","4561. 양평역 1번출구",49418,5,25.47%,5,21.17%,4,20.03%,1,15
"3780","3780. 등촌서광아파트",49309,5,22.71%,5,15.73%,2,24.14%,3,15
"240","240. 문래역 4번출구 앞",48986,5,20.59%,4,22.31%,4,21.34%,2,15
"1020","1020. 강동경찰서",48978,5,20.18%,4,15.86%,3,20.07%,1,13
"1925","1925. 동양미래대학교 정문 옆",48965,5,13.47%,3,15.36%,2,26.79%,4,14
"5651","5651.한강버스 옥수 선착장",48408,5,3.81%,1,18.73%,4,39.42%,5,15
"1167","1167. 마곡수명산파크3단지 교차로",48269,5,24.71%,5,15.26%,2,23.79%,2,14
"1601","1601. 석계역 문화광장 내 자전거 보관소",48192,5,9.77%,2,21.80%,4,23.78%,2,13
"3681","3681. 길동 마루빌딩",48138,5,12.02%,2,17.06%,3,27.78%,4,14
"207","207. 여의나루역 1번출구 앞",47872,5,9.34%,2,23.76%,5,31.73%,5,17
"209","209. 유진투자증권빌딩 앞",47705,5,5.07%,1,36.51%,5,24.01%,2,13
"5061","5061. 우장산동 가곡어린이공원앞",47558,5,14.14%,3,15.75%,3,25.38%,3,14
"1184","1184. 마곡13단지",47319,5,33.01%,5,11.68%,1,23.20%,2,13
"3668","3668. 성내삼성아파트",47247,5,21.45%,5,15.42%,2,24.21%,3,15
"1084","1084. 윤선생빌딩(JYP사옥)",46577,5,11.54%,2,24.96%,5,24.37%,3,15
"746","746. 목동2단지 상가",46240,5,5.77%,1,18.02%,3,32.08%,5,14
"1157","1157. 강서구청",46181,5,28.94%,5,16.86%,3,19.73%,1,14
"243","243. 이앤씨드림타워 앞",46132,5,11.14%,2,25.23%,5,23.38%,2,14
"1608","1608. 공릉역 1번 출구 앞",46131,5,12.65%,3,20.52%,4,22.06%,2,14
"1044","1044. 굽은다리역",46104,5,12.41%,2,17.13%,3,26.96%,4,14
"4940","4940.한강버스 압구정 선착장",46092,5,2.82%,1,18.13%,3,43.82%,5,14
"787","787.양천아파트 입구",46086,5,28.33%,5,14.21%,2,23.22%,2,14
"3571","3571.화양 APT(횡단보도 옆)",45986,5,18.79%,4,17.91%,3,22.42%,2,14
"4531","4531. 목동아파트 613동 앞",45950,5,22.40%,5,13.88%,2,27.59%,4,16
"4029","4029. 청소년수련관 후문",45915,5,20.37%,4,12.58%,1,26.89%,4,14
"4137","4137. 답십리역 4번출구",45845,5,11.78%,2,25.14%,5,22.67%,2,14
"2639","2639.석촌역 8번출구",45582,5,16.56%,4,20.25%,4,23.94%,2,15
"263","263. 근로자회관 사거리",45137,5,12.89%,3,23.12%,5,23.11%,2,15
"1117","1117. 등촌5단지아파트 버스정류장",45000,5,14.54%,3,19.79%,4,21.73%,2,14
"2719","2719.마곡문화공원",44848,5,10.03%,2,41.18%,5,13.06%,1,13
"202","202. 국민일보 앞",44756,5,8.82%,1,35.98%,5,21.34%,2,13
"4508","4508. 유원목동아파트 103동 앞",44528,5,13.89%,3,15.66%,2,24.53%,3,13
"1295","1295. 잠실역 8번출구",44519,5,6.75%,1,24.03%,5,28.30%,5,16
"5096","5096. LG사이언스파크 E14동",44505,5,9.27%,2,56.20%,5,2.19%,1,13
"1011","1011. LIGA 아파트 앞",44309,5,17.28%,4,16.05%,3,24.27%,3,15
"1173","1173. 강서구청사거리(SH타워)",44097,5,25.40%,5,14.19%,2,23.76%,2,14
"795","795.양천 해누리타운",44085,5,12.02%,2,20.27%,4,22.15%,2,13
"1149","1149. 신방화역환승주차장",44051,5,12.45%,2,21.68%,4,23.99%,2,13
"3680","3680. 강동역3번출구",43786,5,17.40%,4,19.88%,4,21.63%,2,15
"1191","""1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)""",43710,5,10.05%,2,21.86%,4,25.28%,3,14
"2628","2628.문정역 1번출구",43514,5,15.87%,3,21.34%,4,20.62%,1,13
"2646","2646.레이크펠리스101동앞",43374,5,13.54%,3,15.06%,2,28.95%,5,15
"1985","1985. 구로도서관",43317,5,17.02%,4,16.07%,3,24.93%,3,15
"779","779. 신정1동 주민센터 앞",43270,5,15.09%,3,17.66%,3,26.90%,4,15
"1182","1182. KBS 스포츠월드",43259,5,22.08%,5,16.42%,3,18.50%,1,14
"3219","3219.영등포역 1번출구",43185,5,17.43%,4,22.48%,4,25.58%,3,16
"217","217. NH농협은행 앞",43039,5,11.12%,2,36.98%,5,12.69%,1,13
"1637","1637. KT 전화국 버스정류장 옆",42925,5,5.97%,1,21.41%,4,28.58%,5,15
"4452","4452. 삼성SDS",42597,5,6.59%,1,41.89%,5,14.41%,1,12
"703","703. 오목교역 7번출구 앞",42528,5,13.84%,3,25.53%,5,22.86%,2,15
"3881","3881. 신자초교입구 교차로",42468,5,22.60%,5,12.39%,1,26.61%,4,15
"1024","1024.  강동구청 앞",42209,5,13.68%,3,21.97%,4,22.73%,2,14
"5080","5080. 가양역 1번출구",42174,5,17.80%,4,21.43%,4,21.98%,2,15
"431","431. 청계천 영도교",42101,5,14.90%,3,14.11%,2,24.62%,3,13
"2136","2136. 신림역 8번출구",41976,5,8.20%,1,15.84%,3,28.87%,5,14
"1209","1209. 잠실나루역 (2번 출구 쪽)",41960,5,19.91%,4,24.47%,5,21.20%,2,16
"5074","""5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)""",41860,5,14.89%,3,20.59%,4,20.16%,1,13
"4233","4233. 코오롱아파트사거리",41838,5,15.80%,3,16.37%,3,27.48%,4,15
"2824","2824.미래사랑어린이공원 앞",41804,5,12.30%,2,25.60%,5,24.73%,3,15
"228","228. 선유도역 3번출구 앞",41758,5,11.36%,2,20.20%,4,29.43%,5,16
