대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중,클러스터_건수기준,클러스터_비중기준,위도,경도
102,102. 망원역 1번출구 앞,37930,4114,6742,10634,0.108462958080675,0.177748484049565,0.280358555233325,2,2,37.55564880,126.91062927
103,103. 망원역 2번출구 앞,28606,1709,5026,9560,0.0597427113193036,0.175697406138572,0.334195623295812,3,2,37.55495071,126.91083527
104,104. 합정역 1번출구 앞,17065,1446,3826,4402,0.0847348373864635,0.22420158218576,0.257954878406094,3,2,37.55062866,126.91498566
105,105. 합정역 5번출구 앞,9733,548,2061,2892,0.0563032980581527,0.211753827185863,0.297133463474777,0,2,37.55000687,126.91482544
106,106. 합정역 7번출구 앞,25910,1267,4984,9416,0.048900038595137,0.192358162871478,0.363411810111926,3,2,37.54864502,126.91282654
107,107. 수협 연남동지점,16013,1509,3682,3812,0.0942359333041903,0.229938175232623,0.238056579029539,3,3,37.55751038,126.91850281
108,108. 서교동 사거리,14995,367,3233,4796,0.0244748249416472,0.215605201733911,0.319839946648883,0,2,37.55274582,126.91861725
111,111. 상수역 2번출구 앞,18851,852,3158,6324,0.0451965412975439,0.167524269269535,0.33547291920853,3,2,37.54787064,126.92353058
113,113. 홍대입구역 2번출구 앞,59869,7195,16839,13647,0.120179057609113,0.281264093270307,0.227947685780621,2,3,37.55743790,126.92382050
114,114. 홍대입구역 8번출구 앞,18954,612,4058,5590,0.0322886989553656,0.214097288171362,0.294924554183813,3,2,37.55706024,126.92442322
115,115. 마스타 빌딩 앞,10221,1155,1493,2785,0.113002641620194,0.146071812934155,0.272478231092848,0,2,37.55893326,126.92711639
117,117. 홍은사거리,34067,3960,6545,9860,0.116241524055538,0.192121407814014,0.289429653330202,3,2,37.59115982,126.94132996
118,118. 광흥창역 2번출구 앞,7383,910,1212,1934,0.123256128944873,0.164160910199106,0.261953135581742,0,2,37.54773331,126.93176270
119,119. 서강나루 공원,19457,2993,2884,5695,0.153826386390502,0.148224289458807,0.292696715834918,3,2,37.54528427,126.93105316
120,120. 신수동 사거리,5940,1332,697,1662,0.224242424242424,0.117340067340067,0.27979797979798,0,1,37.54524231,126.93411255
121,121. 마포소방서 앞,8118,1320,1234,2046,0.16260162601626,0.152007883715201,0.252032520325203,0,2,37.54976654,126.93317413
122,122. 신성기사식당 앞,10037,1717,1521,2700,0.171067051907941,0.15153930457308,0.269004682674106,0,2,37.54745865,126.93837738
123,123. 문화촌 공원,20119,4180,2308,5919,0.207763805358119,0.114717431283861,0.294199512898255,3,1,37.59432983,126.94738770
124,124. 서강대 정문 건너편,14395,1308,2437,4045,0.0908648836401528,0.169294894060438,0.281000347342827,0,2,37.55113983,126.93698883
126,126. 서강대 후문 옆,8883,704,1617,1677,0.0792525047844197,0.182033096926714,0.188787571766295,0,3,37.55041122,126.94384766
127,127. 현대벤처빌 앞,2265,226,419,596,0.0997792494481236,0.184988962472406,0.263134657836645,0,2,,
128,128. 신촌역(2호선) 1번출구 옆,10442,1054,2366,2562,0.100938517525378,0.226584945412756,0.245355295920322,0,3,37.55549622,126.93634033
129,129. 신촌역(2호선) 6번출구 옆,7588,670,1188,2028,0.088297311544544,0.156562994201371,0.267264101212441,0,2,37.55505371,126.93756866
130,130. 신촌역(2호선) 7번출구 앞,21474,1375,4647,5916,0.0640309211139052,0.216401229393685,0.275495948588991,3,2,37.55485916,126.93615723
131,131. 증산2교,21635,3032,3656,6453,0.140143286341576,0.16898544025884,0.298266697480934,3,2,37.58417130,126.91110229
133,133. 해담는다리,21843,3482,3445,6199,0.159410337407865,0.157716430893192,0.28379801309344,3,2,37.58203125,126.90899658
134,134. 연세로 명물길,7251,372,1427,2037,0.0513032685146876,0.196800441318439,0.280926768721556,0,2,37.55789185,126.93807983
135,135. 명물길 원형무대 앞,5954,583,1471,1564,0.0979173664763184,0.247060799462546,0.262680550890158,0,3,37.55922699,126.93984222
137,137. 신촌기차역입구 교차로,4603,228,974,1364,0.0495329133174017,0.211601129698023,0.296328481425157,0,2,37.55681229,126.94318390
138,138. 신촌동 제1공영주차장 앞,5871,916,800,1378,0.156021120763073,0.136262987566002,0.234712996082439,0,1,37.55917740,126.93452454
139,139. 연세대 정문 건너편,3508,473,710,669,0.134834663625998,0.202394526795895,0.190706955530217,0,3,37.55986404,126.93441772
140,140. 이화여대 후문,7227,607,2135,1269,0.0839905908399059,0.2954199529542,0.175591531755915,0,3,37.56000900,126.94073486
141,141. 연대 대운동장 옆,5300,385,1157,1142,0.0726415094339623,0.218301886792453,0.215471698113208,0,3,37.56238174,126.93264771
142,142. 아현역 4번출구 앞,8186,1594,1470,1955,0.194722697288053,0.179574883948204,0.238822379672612,0,1,37.55720139,126.95566559
143,143. 공덕역 2번출구,13057,2008,3289,2846,0.153787240560619,0.251895534962089,0.217967373822471,0,3,37.54457855,126.95021820
145,145. 공덕역 5번출구,16559,2743,3355,3947,0.165650099643698,0.202608853191618,0.238359804336011,3,3,37.54425049,126.95163727
146,146. 마포역 2번출구 뒤,25262,2929,5402,6868,0.115944897474468,0.213838967619349,0.271870794078062,3,2,37.53993607,126.94582367
147,147. 마포역 4번출구 뒤,35286,4198,8451,9561,0.11897069659355,0.239500085019554,0.270957320183642,2,2,37.53927231,126.94591522
148,148. 용강동 주민센터 앞,14658,3192,2084,4307,0.217765042979943,0.142174921544549,0.293832719334152,3,1,37.54234695,126.94302368
150,150. 서강대역 2번출구 앞,13064,1937,2064,3555,0.148270055113288,0.1579914268218,0.272121861604409,0,2,37.55295563,126.93434143
153,153. 성산2교 사거리,25043,4191,4446,6307,0.167352154294613,0.17753464041848,0.251846823463643,3,2,37.56469727,126.91261292
154,154. 마포구청역,29409,2665,4885,9211,0.0906185181407052,0.166105613927709,0.313203441123466,3,2,37.56090927,126.90549469
155,155. 가좌역1 번출구 앞,16933,3753,3415,3976,0.221638221224827,0.201677198370047,0.234807771806532,3,1,37.56829453,126.91504669
156,156. 서울서부지방법원 앞,9651,1038,2370,2059,0.107553621386385,0.245570407211688,0.213345767278002,0,3,37.54933167,126.95491791
157,157. 애오개역 4번출구 앞,18244,4423,2464,4411,0.242435869326902,0.135058101293576,0.241778118833589,3,1,37.55300140,126.95668793
159,159. 이대역 4번 출구,4195,342,958,1186,0.0815256257449345,0.228367103694875,0.282717520858164,0,2,37.55695343,126.94634247
160,160. 북아현동 가구거리,5730,710,1230,1401,0.1239092495637,0.214659685863874,0.244502617801047,0,3,37.55754852,126.95938110
161,161. 무악재역1번 출구,2338,343,414,718,0.146706586826347,0.177074422583405,0.307100085543199,0,2,37.58224487,126.95064545
162,162. 봉원고가차도 밑,8405,1333,1389,2089,0.158596073765616,0.165258774538965,0.24854253420583,0,2,37.56526947,126.94624329
163,163. 명지전문대학교 정문 앞,6262,1281,819,1245,0.20456723091664,0.130788885340147,0.198818268923667,0,1,37.58369827,126.92496490
164,164. 북가좌1동 주민센터,5543,1531,561,1419,0.276204221540682,0.101208731733718,0.255998556738228,0,1,37.57447815,126.91004944
165,165. 중앙근린공원,13716,3679,1673,3700,0.268226888305628,0.121974336541266,0.269757946923301,3,1,37.57513809,126.91394043
166,166. 가재울 초등학교,18732,4966,2149,5163,0.265107836856716,0.114723467862481,0.275624599615631,3,1,37.57381821,126.91923523
167,167. 연가초등학교 옆,6202,1387,810,1642,0.22363753627862,0.130603031280232,0.26475330538536,0,1,37.57946014,126.91712952
169,169. 북가좌 삼거리,6000,1457,866,1262,0.242833333333333,0.144333333333333,0.210333333333333,0,1,37.57300186,126.90779877
170,170. DMC파크뷰자이아파트 302동 앞,11341,2894,1318,3304,0.255180319195838,0.116215501278547,0.291332334009347,0,1,37.57311249,126.92244720
171,171. 임광빌딩 앞,6197,1541,1436,987,0.248668710666452,0.231725028239471,0.159270614813619,0,3,37.56472397,126.96727753
173,173. 서대문역 8번출구 앞,3840,676,1062,556,0.176041666666667,0.2765625,0.144791666666667,0,3,37.56477737,126.96614838
175,175. 홍연2교옆,12266,2543,1676,3405,0.207321050057068,0.136637860753302,0.277596608511332,0,1,37.57806778,126.93088531
176,176. 명지대학교 도서관,20627,3126,2644,5235,0.15154894070878,0.128181509671789,0.253793571532457,3,2,37.58109665,126.92402649
177,177. 북가좌 초등학교,7665,1880,1055,1993,0.245270711024136,0.137638617090672,0.260013046314416,0,1,37.57767487,126.90980530
178,178. 증산3교 앞,16847,3959,2176,4471,0.234997328901288,0.129162462159435,0.265388496468214,3,1,37.57987595,126.90634918
179,179. 가좌역 4번출구 앞,20929,5508,4381,4179,0.263175498112667,0.209326771465431,0.199675091977639,3,1,37.56877518,126.91529846
180,180. 충정로역 7번출구 아래,7543,1075,1759,1691,0.142516240222723,0.233196340978391,0.224181360201511,0,3,37.55996704,126.96246338
181,181. 망원초록길 입구,11406,743,1702,4581,0.065141153778713,0.149219708925127,0.40163072067333,0,2,37.55134201,126.90267181
182,182. 망원2빗물펌프장 앞,11246,1123,1749,4140,0.0998577271918905,0.155521963364752,0.368130890983461,0,2,37.55136490,126.90306091
183,183. 하늘채코오롱아파트 건너편,32099,6686,5117,7955,0.20829309324278,0.159413065827596,0.247827035110128,3,1,37.56516647,126.91939545
184,184.망원우체국사거리 인근,28690,3415,4926,8464,0.119031021261764,0.171697455559428,0.295015684907633,3,2,37.55894852,126.90775299
185,185. 마포 신수공원 앞,12295,2009,1424,4007,0.163399755998373,0.115819438796259,0.325904839365596,0,2,37.54254532,126.93429565
186,186. 월드컵공원,30172,745,3426,16154,0.0246917672013788,0.113548985814663,0.535397056873923,3,2,37.56396484,126.89820862
188,188. 홍은동 정원여중 입구,8440,1433,1395,2315,0.16978672985782,0.165284360189573,0.274289099526066,0,2,37.58638763,126.93512726
191,191. 서우빌딩,10164,1983,1217,2536,0.195100354191263,0.119736324281779,0.249508067689886,0,1,37.57889175,126.91073608
192,192. 연서어린이공원,5408,1540,819,1260,0.284763313609467,0.151442307692308,0.232988165680473,0,1,37.57222748,126.92306519
194,194. 증산교 앞,21318,2287,4696,6031,0.10728023266723,0.220283328642462,0.282906464021015,3,2,37.57731628,126.90296936
195,195. 모래내고가차도,9683,1704,1258,2543,0.175978519054012,0.129918413714758,0.26262521945678,0,1,37.56765747,126.91780853
196,196. 연희교차로 인근,2937,459,437,765,0.156281920326864,0.148791283622744,0.26046986721144,0,2,37.56612015,126.92589569
198,198. 충정2교,5049,1150,1008,986,0.227767874826698,0.199643493761141,0.195286195286195,0,1,37.56213760,126.96377563
199,199. 서울 월드컵 경기장,12670,1101,1899,4345,0.0868981846882399,0.149881610102605,0.342936069455406,0,2,37.56684494,126.89644623
200,200. 국회의원회관,2060,253,799,104,0.122815533980583,0.387864077669903,0.0504854368932039,0,0,37.52841568,126.91391754
201,201. 진미파라곤 앞,17858,1814,5164,4182,0.101579124202038,0.289170119834248,0.234180759323552,3,3,37.53123856,126.92133331
202,202. 국민일보 앞,44756,3946,16104,9553,0.0881669496827241,0.359817678076682,0.213446241844669,2,0,37.52881622,126.92453003
203,203. 국회의사당역 3번출구 옆,27427,7273,8508,2830,0.265176650745616,0.310205272177052,0.10318299485908,3,3,37.52805710,126.91870117
204,204. 국회의사당역 5번출구 옆,18832,2831,5537,2935,0.150329226847918,0.294020815632965,0.155851741716228,3,3,37.52816391,126.91702271
205,205. 산업은행 앞,20165,1196,6913,5515,0.0593106868336226,0.342821720803372,0.273493677163402,3,3,37.52626419,126.92050934
206,206. KBS 앞,33082,2444,11205,7233,0.0738770328275195,0.338703826854483,0.218638534550511,3,3,37.52466583,126.91802216
207,207. 여의나루역 1번출구 앞,47872,4473,11375,15189,0.0934366644385027,0.237612800802139,0.317283589572192,2,2,37.52715683,126.93190002
209,209. 유진투자증권빌딩 앞,47705,2420,17419,11453,0.05072843517451,0.365139922439996,0.240079656220522,2,0,37.52461243,126.92783356
211,211. 여의도역 4번출구 옆,3,0,0,2,0,0,0.666666666666667,0,2,37.52222824,126.92463684
212,212. 여의도역 1번출구 옆,1,0,0,0,0,0,0,0,3,37.52136230,126.92346191
213,213. KT앞,31572,8553,5738,4685,0.270904599011783,0.181743316863043,0.14839097934879,3,1,37.52190781,126.91895294
214,214. 금융감독원 앞,18556,594,8469,1484,0.0320112093123518,0.45640224186247,0.0799741323561112,3,0,37.52302170,126.92083740
215,215. 여의도고교 앞,15292,2965,2646,3924,0.193892231232017,0.173031650536228,0.256604760659168,3,1,37.52483749,126.93490601
217,217. NH농협은행 앞,43039,4786,15917,5461,0.111201468435605,0.36982736587746,0.126884918329887,2,0,37.52207947,126.93036652
219,219. 롯데캐슬엠파이어 옆,28617,4734,7829,4711,0.165426145298249,0.273578642065905,0.16462242722857,3,3,37.52069473,126.92583466
220,220. 미성아파트 A동 앞,18264,2320,5066,3586,0.127025843188787,0.277376259307928,0.196342531756461,3,3,37.51936340,126.92604828
221,221. 여의도초교 앞,19128,2782,3649,5403,0.145441237975742,0.190767461313258,0.282465495608532,3,2,37.52267456,126.93778992
222,222. 시범아파트버스정류장 옆,22529,3605,5220,4243,0.160015979404323,0.231701362688091,0.188335034843979,3,3,37.51902008,126.93688965
223,223. 진주아파트상가 앞,13903,2098,2551,3144,0.1509026828742,0.183485578652089,0.226138243544559,0,3,37.51913071,126.93337250
224,224. 롯데캐슬 앞,25168,2666,5768,5790,0.105928162746345,0.229179910998093,0.230054036872219,3,3,37.52008820,126.93236542
225,225. 앙카라공원 앞,21527,4505,4624,4381,0.20927207692665,0.214800018581316,0.203511868815906,3,3,37.51758575,126.92961884
226,226. 샛강역 1번출구 앞,27796,6114,6912,4735,0.21995970643258,0.248668873219168,0.170348251546985,3,3,37.51776505,126.92841339
227,227. 양평1나들목 보행통로 입구,25027,3010,3663,9346,0.120270108283054,0.146361929116554,0.373436688376553,3,2,37.54466629,126.88835907
228,228. 선유도역 3번출구 앞,41758,4745,8437,12291,0.113630921021122,0.20204511710331,0.294338809329949,2,2,37.53845978,126.89450836
229,229. 양평1 보행육교 앞,26527,1939,10176,5246,0.0730953368266295,0.383609152938515,0.197760772043578,3,0,37.53587341,126.89218140
230,230. 영등포구청역 7번출구,90789,19004,19217,18943,0.209320512396876,0.211666611593916,0.208648624833405,2,3,37.52463531,126.89621735
231,231. 남부고용노동지청 남측,31541,5522,6660,5619,0.175073713579151,0.211153736406582,0.178149075806094,3,3,37.52450562,126.89182281
232,232. 양평우림 이비즈센타 앞,35725,6635,8978,6953,0.185724282715185,0.251308607417775,0.194625612316305,2,3,37.52565002,126.88781738
233,233. 양평1동 YP센터 앞,13122,1356,4464,2147,0.103337905807042,0.340192043895748,0.163618350861149,0,0,37.52848816,126.89164734
235,235. 신길동 우리은행 옆,7076,814,1164,1853,0.11503674392312,0.164499717354438,0.261871113623516,0,2,,
236,236. 문래동자이아파트 앞,38995,6058,5832,10406,0.15535325041672,0.149557635594307,0.266854724964739,2,2,37.51615524,126.89461517
237,237. 보라매 두산위브 건너편,21058,4678,3677,4962,0.222148352170197,0.174612973691709,0.23563491309716,3,1,37.49651337,126.91480255
238,238. 제2구민체육센타 앞,29452,6403,6523,4145,0.217404590520168,0.221479016705147,0.140737471139481,3,3,37.52638626,126.90275574
239,239. 유스호스텔 앞,15134,2838,3574,2647,0.187524778644113,0.236156997489097,0.174904189242765,3,3,37.52585220,126.90328217
240,240. 문래역 4번출구 앞,48986,10085,10930,10452,0.20587514800147,0.223124974482505,0.213367084473115,2,3,37.51873779,126.89557648
241,241. 신길우성1차아파트 앞 공원,12907,3505,1268,3127,0.27155806926474,0.0982412644301542,0.242271635546603,0,1,37.50501633,126.89853668
242,242. 신길선원가와인아파트 앞,12548,2009,1952,3492,0.160105196047179,0.155562639464456,0.278291361173095,0,2,37.51093292,126.91022491
243,243. 이앤씨드림타워 앞,46132,5137,11640,10786,0.111354374403885,0.252319431197433,0.233807335472123,2,3,37.52708435,126.89138031
244,244. 영등포삼환아파트 앞,23949,3762,3925,6296,0.157083803081548,0.163889932773811,0.262891978788258,3,2,37.53007889,126.90570831
245,245. 삼성생명 당산사옥 앞,40168,6939,8782,8167,0.172749452300339,0.218631746664011,0.20332105158335,2,3,37.52826309,126.89662933
247,247. 당산역 10번출구 앞,67725,9277,16523,16637,0.136980435585087,0.243971945367294,0.245655223329642,2,3,37.53342056,126.90223694
248,248. 초원아파트 앞,12146,889,2934,4457,0.0731928206817059,0.241561007739173,0.366952082990285,0,2,37.53105545,126.92420959
249,249. 여의도중학교 옆,12449,842,2125,5076,0.0676359546951562,0.170696441481243,0.407743593862961,0,2,37.52434921,126.93611908
250,250. 대림아파트 사거리,6993,1479,994,1971,0.211497211497211,0.142142142142142,0.281853281853282,0,1,37.50764084,126.92308044
251,251. 서울지방병무청 버스정류장,9599,1083,1674,2483,0.112824252526305,0.174393165954787,0.258672778414418,0,2,37.50449371,126.92195129
252,252. 보라매역4번출구,17184,2237,3448,4153,0.130179236499069,0.200651769087523,0.241678305400372,3,3,37.49982834,126.91994476
253,253. 신풍역 5번출구 인근,1,0,0,0,0,0,0,0,3,37.50064850,126.90951538
254,254. 도림신협 앞,19752,3487,2709,4595,0.176539084649656,0.137150668286756,0.232634669906845,3,1,37.50380325,126.90341949
255,255. 도림사거리,16811,2204,2470,5124,0.13110463387068,0.146927606924038,0.304800428291,3,2,37.50657272,126.90113068
256,256. 동아에코빌입구,16364,3276,2281,4246,0.200195551209973,0.139391346858959,0.259472011733073,3,1,37.50947571,126.89929962
