대여소번호,대여소명,계약월,이용건수
102,102. 망원역 1번출구 앞,2025-06,3865
102,102. 망원역 1번출구 앞,2025-07,3319
102,102. 망원역 1번출구 앞,2025-08,3164
102,102. 망원역 1번출구 앞,2025-09,3818
102,102. 망원역 1번출구 앞,2025-10,3198
102,102. 망원역 1번출구 앞,2025-11,2887
102,102. 망원역 1번출구 앞,2025-12,1636
102,102. 망원역 1번출구 앞,2026-01,1306
102,102. 망원역 1번출구 앞,2026-02,1576
102,102. 망원역 1번출구 앞,2026-03,2559
102,102. 망원역 1번출구 앞,2026-04,3409
102,102. 망원역 1번출구 앞,2026-05,3573
102,102. 망원역 1번출구 앞,2026-06,3620
103,103. 망원역 2번출구 앞,2025-06,3172
103,103. 망원역 2번출구 앞,2025-07,2445
103,103. 망원역 2번출구 앞,2025-08,2514
103,103. 망원역 2번출구 앞,2025-09,2853
103,103. 망원역 2번출구 앞,2025-10,2386
103,103. 망원역 2번출구 앞,2025-11,1821
103,103. 망원역 2번출구 앞,2025-12,969
103,103. 망원역 2번출구 앞,2026-01,736
103,103. 망원역 2번출구 앞,2026-02,1003
103,103. 망원역 2번출구 앞,2026-03,1745
103,103. 망원역 2번출구 앞,2026-04,2768
103,103. 망원역 2번출구 앞,2026-05,3209
103,103. 망원역 2번출구 앞,2026-06,2985
104,104. 합정역 1번출구 앞,2025-06,1455
104,104. 합정역 1번출구 앞,2025-07,1351
104,104. 합정역 1번출구 앞,2025-08,1466
104,104. 합정역 1번출구 앞,2025-09,1644
104,104. 합정역 1번출구 앞,2025-10,1472
104,104. 합정역 1번출구 앞,2025-11,1256
104,104. 합정역 1번출구 앞,2025-12,759
104,104. 합정역 1번출구 앞,2026-01,661
104,104. 합정역 1번출구 앞,2026-02,810
104,104. 합정역 1번출구 앞,2026-03,1350
104,104. 합정역 1번출구 앞,2026-04,1792
104,104. 합정역 1번출구 앞,2026-05,1548
104,104. 합정역 1번출구 앞,2026-06,1501
105,105. 합정역 5번출구 앞,2025-06,839
105,105. 합정역 5번출구 앞,2025-07,679
105,105. 합정역 5번출구 앞,2025-08,842
105,105. 합정역 5번출구 앞,2025-09,921
105,105. 합정역 5번출구 앞,2025-10,801
105,105. 합정역 5번출구 앞,2025-11,820
105,105. 합정역 5번출구 앞,2025-12,475
105,105. 합정역 5번출구 앞,2026-01,321
105,105. 합정역 5번출구 앞,2026-02,421
105,105. 합정역 5번출구 앞,2026-03,842
105,105. 합정역 5번출구 앞,2026-04,1043
105,105. 합정역 5번출구 앞,2026-05,896
105,105. 합정역 5번출구 앞,2026-06,833
106,106. 합정역 7번출구 앞,2025-06,2746
106,106. 합정역 7번출구 앞,2025-07,1641
106,106. 합정역 7번출구 앞,2025-08,2001
106,106. 합정역 7번출구 앞,2025-09,2781
106,106. 합정역 7번출구 앞,2025-10,2172
106,106. 합정역 7번출구 앞,2025-11,1677
106,106. 합정역 7번출구 앞,2025-12,739
106,106. 합정역 7번출구 앞,2026-01,590
106,106. 합정역 7번출구 앞,2026-02,1021
106,106. 합정역 7번출구 앞,2026-03,1901
106,106. 합정역 7번출구 앞,2026-04,3314
106,106. 합정역 7번출구 앞,2026-05,3020
106,106. 합정역 7번출구 앞,2026-06,2307
107,107. 수협 연남동지점,2025-06,1390
107,107. 수협 연남동지점,2025-07,1353
107,107. 수협 연남동지점,2025-08,1505
107,107. 수협 연남동지점,2025-09,1724
107,107. 수협 연남동지점,2025-10,1347
107,107. 수협 연남동지점,2025-11,1297
107,107. 수협 연남동지점,2025-12,732
107,107. 수협 연남동지점,2026-01,644
107,107. 수협 연남동지점,2026-02,639
107,107. 수협 연남동지점,2026-03,983
107,107. 수협 연남동지점,2026-04,1421
107,107. 수협 연남동지점,2026-05,1423
107,107. 수협 연남동지점,2026-06,1555
108,108. 서교동 사거리,2025-06,1576
108,108. 서교동 사거리,2025-07,1277
108,108. 서교동 사거리,2025-08,1370
108,108. 서교동 사거리,2025-09,1540
108,108. 서교동 사거리,2025-10,1249
108,108. 서교동 사거리,2025-11,1184
108,108. 서교동 사거리,2025-12,615
108,108. 서교동 사거리,2026-01,428
108,108. 서교동 사거리,2026-02,584
108,108. 서교동 사거리,2026-03,1013
108,108. 서교동 사거리,2026-04,1340
108,108. 서교동 사거리,2026-05,1412
108,108. 서교동 사거리,2026-06,1407
111,111. 상수역 2번출구 앞,2025-06,1689
111,111. 상수역 2번출구 앞,2025-07,1242
111,111. 상수역 2번출구 앞,2025-08,1529
111,111. 상수역 2번출구 앞,2025-09,1958
111,111. 상수역 2번출구 앞,2025-10,1763
111,111. 상수역 2번출구 앞,2025-11,1416
111,111. 상수역 2번출구 앞,2025-12,680
111,111. 상수역 2번출구 앞,2026-01,468
111,111. 상수역 2번출구 앞,2026-02,648
111,111. 상수역 2번출구 앞,2026-03,1406
111,111. 상수역 2번출구 앞,2026-04,2056
111,111. 상수역 2번출구 앞,2026-05,2164
111,111. 상수역 2번출구 앞,2026-06,1832
113,113. 홍대입구역 2번출구 앞,2025-06,5583
113,113. 홍대입구역 2번출구 앞,2025-07,5156
113,113. 홍대입구역 2번출구 앞,2025-08,5144
113,113. 홍대입구역 2번출구 앞,2025-09,5889
113,113. 홍대입구역 2번출구 앞,2025-10,5066
113,113. 홍대입구역 2번출구 앞,2025-11,4983
113,113. 홍대입구역 2번출구 앞,2025-12,2959
113,113. 홍대입구역 2번출구 앞,2026-01,2511
113,113. 홍대입구역 2번출구 앞,2026-02,2707
113,113. 홍대입구역 2번출구 앞,2026-03,4304
113,113. 홍대입구역 2번출구 앞,2026-04,5154
113,113. 홍대입구역 2번출구 앞,2026-05,5130
113,113. 홍대입구역 2번출구 앞,2026-06,5283
114,114. 홍대입구역 8번출구 앞,2025-06,1976
114,114. 홍대입구역 8번출구 앞,2025-07,1651
114,114. 홍대입구역 8번출구 앞,2025-08,1732
114,114. 홍대입구역 8번출구 앞,2025-09,1907
114,114. 홍대입구역 8번출구 앞,2025-10,1562
114,114. 홍대입구역 8번출구 앞,2025-11,1398
114,114. 홍대입구역 8번출구 앞,2025-12,842
114,114. 홍대입구역 8번출구 앞,2026-01,577
114,114. 홍대입구역 8번출구 앞,2026-02,700
114,114. 홍대입구역 8번출구 앞,2026-03,1203
114,114. 홍대입구역 8번출구 앞,2026-04,1675
114,114. 홍대입구역 8번출구 앞,2026-05,1872
114,114. 홍대입구역 8번출구 앞,2026-06,1859
115,115. 마스타 빌딩 앞,2025-06,946
115,115. 마스타 빌딩 앞,2025-07,840
115,115. 마스타 빌딩 앞,2025-08,948
115,115. 마스타 빌딩 앞,2025-09,1018
115,115. 마스타 빌딩 앞,2025-10,834
115,115. 마스타 빌딩 앞,2025-11,822
115,115. 마스타 빌딩 앞,2025-12,502
115,115. 마스타 빌딩 앞,2026-01,412
115,115. 마스타 빌딩 앞,2026-02,437
115,115. 마스타 빌딩 앞,2026-03,759
115,115. 마스타 빌딩 앞,2026-04,905
115,115. 마스타 빌딩 앞,2026-05,862
115,115. 마스타 빌딩 앞,2026-06,936
117,117. 홍은사거리,2025-06,3250
117,117. 홍은사거리,2025-07,2481
117,117. 홍은사거리,2025-08,2888
117,117. 홍은사거리,2025-09,3562
117,117. 홍은사거리,2025-10,2974
117,117. 홍은사거리,2025-11,2361
117,117. 홍은사거리,2025-12,1253
117,117. 홍은사거리,2026-01,1052
117,117. 홍은사거리,2026-02,1235
117,117. 홍은사거리,2026-03,2320
117,117. 홍은사거리,2026-04,3404
117,117. 홍은사거리,2026-05,3726
117,117. 홍은사거리,2026-06,3561
118,118. 광흥창역 2번출구 앞,2025-06,632
118,118. 광흥창역 2번출구 앞,2025-07,636
118,118. 광흥창역 2번출구 앞,2025-08,663
118,118. 광흥창역 2번출구 앞,2025-09,710
118,118. 광흥창역 2번출구 앞,2025-10,591
118,118. 광흥창역 2번출구 앞,2025-11,536
118,118. 광흥창역 2번출구 앞,2025-12,388
118,118. 광흥창역 2번출구 앞,2026-01,265
118,118. 광흥창역 2번출구 앞,2026-02,322
118,118. 광흥창역 2번출구 앞,2026-03,506
118,118. 광흥창역 2번출구 앞,2026-04,704
118,118. 광흥창역 2번출구 앞,2026-05,703
118,118. 광흥창역 2번출구 앞,2026-06,727
119,119. 서강나루 공원,2025-06,1831
119,119. 서강나루 공원,2025-07,1498
119,119. 서강나루 공원,2025-08,1754
119,119. 서강나루 공원,2025-09,2285
119,119. 서강나루 공원,2025-10,1688
119,119. 서강나루 공원,2025-11,1392
119,119. 서강나루 공원,2025-12,724
119,119. 서강나루 공원,2026-01,556
119,119. 서강나루 공원,2026-02,732
119,119. 서강나루 공원,2026-03,1333
119,119. 서강나루 공원,2026-04,1842
119,119. 서강나루 공원,2026-05,1944
119,119. 서강나루 공원,2026-06,1878
120,120. 신수동 사거리,2025-06,575
120,120. 신수동 사거리,2025-07,468
120,120. 신수동 사거리,2025-08,511
120,120. 신수동 사거리,2025-09,602
120,120. 신수동 사거리,2025-10,460
120,120. 신수동 사거리,2025-11,391
120,120. 신수동 사거리,2025-12,250
120,120. 신수동 사거리,2026-01,217
120,120. 신수동 사거리,2026-02,239
120,120. 신수동 사거리,2026-03,466
120,120. 신수동 사거리,2026-04,559
120,120. 신수동 사거리,2026-05,592
120,120. 신수동 사거리,2026-06,610
121,121. 마포소방서 앞,2025-06,790
121,121. 마포소방서 앞,2025-07,310
121,121. 마포소방서 앞,2025-08,615
121,121. 마포소방서 앞,2025-09,799
121,121. 마포소방서 앞,2025-10,689
121,121. 마포소방서 앞,2025-11,568
121,121. 마포소방서 앞,2025-12,421
121,121. 마포소방서 앞,2026-01,331
121,121. 마포소방서 앞,2026-02,355
121,121. 마포소방서 앞,2026-03,633
121,121. 마포소방서 앞,2026-04,888
121,121. 마포소방서 앞,2026-05,823
121,121. 마포소방서 앞,2026-06,896
122,122. 신성기사식당 앞,2025-06,958
122,122. 신성기사식당 앞,2025-07,897
122,122. 신성기사식당 앞,2025-08,965
122,122. 신성기사식당 앞,2025-09,1074
122,122. 신성기사식당 앞,2025-10,844
122,122. 신성기사식당 앞,2025-11,805
122,122. 신성기사식당 앞,2025-12,503
122,122. 신성기사식당 앞,2026-01,372
122,122. 신성기사식당 앞,2026-02,346
122,122. 신성기사식당 앞,2026-03,695
122,122. 신성기사식당 앞,2026-04,872
122,122. 신성기사식당 앞,2026-05,788
122,122. 신성기사식당 앞,2026-06,918
123,123. 문화촌 공원,2025-06,2110
123,123. 문화촌 공원,2025-07,1691
123,123. 문화촌 공원,2025-08,1797
123,123. 문화촌 공원,2025-09,1868
123,123. 문화촌 공원,2025-10,1491
123,123. 문화촌 공원,2025-11,1384
123,123. 문화촌 공원,2025-12,834
123,123. 문화촌 공원,2026-01,735
123,123. 문화촌 공원,2026-02,860
123,123. 문화촌 공원,2026-03,1341
123,123. 문화촌 공원,2026-04,1967
123,123. 문화촌 공원,2026-05,2025
123,123. 문화촌 공원,2026-06,2016
124,124. 서강대 정문 건너편,2025-06,1053
124,124. 서강대 정문 건너편,2025-07,1148
124,124. 서강대 정문 건너편,2025-08,1138
124,124. 서강대 정문 건너편,2025-09,1338
124,124. 서강대 정문 건너편,2025-10,1192
124,124. 서강대 정문 건너편,2025-11,1080
124,124. 서강대 정문 건너편,2025-12,714
124,124. 서강대 정문 건너편,2026-01,546
124,124. 서강대 정문 건너편,2026-02,610
124,124. 서강대 정문 건너편,2026-03,1126
124,124. 서강대 정문 건너편,2026-04,1520
124,124. 서강대 정문 건너편,2026-05,1487
124,124. 서강대 정문 건너편,2026-06,1443
126,126. 서강대 후문 옆,2025-06,822
126,126. 서강대 후문 옆,2025-07,652
126,126. 서강대 후문 옆,2025-08,661
126,126. 서강대 후문 옆,2025-09,1008
126,126. 서강대 후문 옆,2025-10,798
126,126. 서강대 후문 옆,2025-11,750
126,126. 서강대 후문 옆,2025-12,403
126,126. 서강대 후문 옆,2026-01,266
126,126. 서강대 후문 옆,2026-02,269
126,126. 서강대 후문 옆,2026-03,679
126,126. 서강대 후문 옆,2026-04,913
126,126. 서강대 후문 옆,2026-05,848
126,126. 서강대 후문 옆,2026-06,814
127,127. 현대벤처빌 앞,2025-06,173
127,127. 현대벤처빌 앞,2025-07,232
127,127. 현대벤처빌 앞,2025-08,194
127,127. 현대벤처빌 앞,2025-09,276
127,127. 현대벤처빌 앞,2025-10,230
127,127. 현대벤처빌 앞,2025-11,298
127,127. 현대벤처빌 앞,2025-12,191
127,127. 현대벤처빌 앞,2026-01,130
127,127. 현대벤처빌 앞,2026-02,126
127,127. 현대벤처빌 앞,2026-03,214
127,127. 현대벤처빌 앞,2026-04,201
128,128. 신촌역(2호선) 1번출구 옆,2025-06,988
128,128. 신촌역(2호선) 1번출구 옆,2025-07,907
128,128. 신촌역(2호선) 1번출구 옆,2025-08,913
128,128. 신촌역(2호선) 1번출구 옆,2025-09,1064
128,128. 신촌역(2호선) 1번출구 옆,2025-10,887
128,128. 신촌역(2호선) 1번출구 옆,2025-11,917
128,128. 신촌역(2호선) 1번출구 옆,2025-12,534
128,128. 신촌역(2호선) 1번출구 옆,2026-01,340
128,128. 신촌역(2호선) 1번출구 옆,2026-02,453
128,128. 신촌역(2호선) 1번출구 옆,2026-03,748
128,128. 신촌역(2호선) 1번출구 옆,2026-04,930
128,128. 신촌역(2호선) 1번출구 옆,2026-05,827
128,128. 신촌역(2호선) 1번출구 옆,2026-06,934
129,129. 신촌역(2호선) 6번출구 옆,2025-06,700
129,129. 신촌역(2호선) 6번출구 옆,2025-07,515
129,129. 신촌역(2호선) 6번출구 옆,2025-08,649
129,129. 신촌역(2호선) 6번출구 옆,2025-09,822
129,129. 신촌역(2호선) 6번출구 옆,2025-10,625
129,129. 신촌역(2호선) 6번출구 옆,2025-11,604
129,129. 신촌역(2호선) 6번출구 옆,2025-12,338
129,129. 신촌역(2호선) 6번출구 옆,2026-01,235
129,129. 신촌역(2호선) 6번출구 옆,2026-02,296
129,129. 신촌역(2호선) 6번출구 옆,2026-03,530
129,129. 신촌역(2호선) 6번출구 옆,2026-04,720
129,129. 신촌역(2호선) 6번출구 옆,2026-05,775
129,129. 신촌역(2호선) 6번출구 옆,2026-06,779
130,130. 신촌역(2호선) 7번출구 앞,2025-06,1933
130,130. 신촌역(2호선) 7번출구 앞,2025-07,1719
130,130. 신촌역(2호선) 7번출구 앞,2025-08,1741
130,130. 신촌역(2호선) 7번출구 앞,2025-09,2233
130,130. 신촌역(2호선) 7번출구 앞,2025-10,1832
130,130. 신촌역(2호선) 7번출구 앞,2025-11,1717
130,130. 신촌역(2호선) 7번출구 앞,2025-12,1031
130,130. 신촌역(2호선) 7번출구 앞,2026-01,753
130,130. 신촌역(2호선) 7번출구 앞,2026-02,890
130,130. 신촌역(2호선) 7번출구 앞,2026-03,1499
130,130. 신촌역(2호선) 7번출구 앞,2026-04,1949
130,130. 신촌역(2호선) 7번출구 앞,2026-05,2101
130,130. 신촌역(2호선) 7번출구 앞,2026-06,2076
131,131. 증산2교,2025-06,2334
131,131. 증산2교,2025-07,1995
131,131. 증산2교,2025-08,1981
131,131. 증산2교,2025-09,2293
131,131. 증산2교,2025-10,1864
131,131. 증산2교,2025-11,1420
131,131. 증산2교,2025-12,833
131,131. 증산2교,2026-01,656
131,131. 증산2교,2026-02,835
131,131. 증산2교,2026-03,1535
131,131. 증산2교,2026-04,2034
131,131. 증산2교,2026-05,1952
131,131. 증산2교,2026-06,1903
133,133. 해담는다리,2025-06,2113
133,133. 해담는다리,2025-07,1657
133,133. 해담는다리,2025-08,1730
133,133. 해담는다리,2025-09,2045
133,133. 해담는다리,2025-10,1727
133,133. 해담는다리,2025-11,1540
133,133. 해담는다리,2025-12,873
133,133. 해담는다리,2026-01,672
133,133. 해담는다리,2026-02,951
133,133. 해담는다리,2026-03,1653
133,133. 해담는다리,2026-04,2294
133,133. 해담는다리,2026-05,2288
133,133. 해담는다리,2026-06,2300
134,134. 연세로 명물길,2025-06,695
134,134. 연세로 명물길,2025-07,632
134,134. 연세로 명물길,2025-08,668
134,134. 연세로 명물길,2025-09,748
134,134. 연세로 명물길,2025-10,606
134,134. 연세로 명물길,2025-11,538
134,134. 연세로 명물길,2025-12,296
134,134. 연세로 명물길,2026-01,236
134,134. 연세로 명물길,2026-02,276
134,134. 연세로 명물길,2026-03,491
134,134. 연세로 명물길,2026-04,618
134,134. 연세로 명물길,2026-05,726
134,134. 연세로 명물길,2026-06,721
135,135. 명물길 원형무대 앞,2025-06,545
135,135. 명물길 원형무대 앞,2025-07,376
135,135. 명물길 원형무대 앞,2025-08,497
135,135. 명물길 원형무대 앞,2025-09,586
135,135. 명물길 원형무대 앞,2025-10,512
135,135. 명물길 원형무대 앞,2025-11,485
135,135. 명물길 원형무대 앞,2025-12,270
135,135. 명물길 원형무대 앞,2026-01,241
135,135. 명물길 원형무대 앞,2026-02,267
135,135. 명물길 원형무대 앞,2026-03,499
135,135. 명물길 원형무대 앞,2026-04,573
135,135. 명물길 원형무대 앞,2026-05,574
135,135. 명물길 원형무대 앞,2026-06,529
137,137. 신촌기차역입구 교차로,2025-06,426
137,137. 신촌기차역입구 교차로,2025-07,285
137,137. 신촌기차역입구 교차로,2025-08,382
137,137. 신촌기차역입구 교차로,2025-09,381
137,137. 신촌기차역입구 교차로,2025-10,301
137,137. 신촌기차역입구 교차로,2025-11,422
137,137. 신촌기차역입구 교차로,2025-12,210
137,137. 신촌기차역입구 교차로,2026-01,170
137,137. 신촌기차역입구 교차로,2026-02,220
137,137. 신촌기차역입구 교차로,2026-03,435
137,137. 신촌기차역입구 교차로,2026-04,495
137,137. 신촌기차역입구 교차로,2026-05,436
137,137. 신촌기차역입구 교차로,2026-06,440
138,138. 신촌동 제1공영주차장 앞,2025-06,577
138,138. 신촌동 제1공영주차장 앞,2025-07,429
138,138. 신촌동 제1공영주차장 앞,2025-08,459
138,138. 신촌동 제1공영주차장 앞,2025-09,545
138,138. 신촌동 제1공영주차장 앞,2025-10,468
138,138. 신촌동 제1공영주차장 앞,2025-11,487
138,138. 신촌동 제1공영주차장 앞,2025-12,302
138,138. 신촌동 제1공영주차장 앞,2026-01,225
138,138. 신촌동 제1공영주차장 앞,2026-02,237
138,138. 신촌동 제1공영주차장 앞,2026-03,462
138,138. 신촌동 제1공영주차장 앞,2026-04,559
138,138. 신촌동 제1공영주차장 앞,2026-05,512
138,138. 신촌동 제1공영주차장 앞,2026-06,609
139,139. 연세대 정문 건너편,2025-06,246
139,139. 연세대 정문 건너편,2025-07,235
139,139. 연세대 정문 건너편,2025-08,264
139,139. 연세대 정문 건너편,2025-09,452
139,139. 연세대 정문 건너편,2025-10,266
139,139. 연세대 정문 건너편,2025-11,251
139,139. 연세대 정문 건너편,2025-12,222
139,139. 연세대 정문 건너편,2026-01,151
139,139. 연세대 정문 건너편,2026-02,195
139,139. 연세대 정문 건너편,2026-03,292
139,139. 연세대 정문 건너편,2026-04,351
139,139. 연세대 정문 건너편,2026-05,247
139,139. 연세대 정문 건너편,2026-06,336
140,140. 이화여대 후문,2025-06,641
140,140. 이화여대 후문,2025-07,532
140,140. 이화여대 후문,2025-08,502
140,140. 이화여대 후문,2025-09,735
140,140. 이화여대 후문,2025-10,613
