계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-01,서대문구,북가좌동,월드컵현대,94500,25.691986568654148,3678.189685623454,10.0,1998.0,28.0
2026-01-01,용산구,도원동,삼성래미안,172000,25.619384699156004,6713.666312433581,6.0,2001.0,25.0
2026-01-01,노원구,월계동,월계센트럴아이파크,109000,25.710137036028677,4239.572890928344,7.0,2020.0,6.0
2026-01-01,노원구,월계동,월계센트럴아이파크,95000,18.14744229663914,5234.897482913818,21.0,2020.0,6.0
2026-01-01,도봉구,창동,주공17단지,32500,10.938681671053029,2971.1075774336286,6.0,1989.0,37.0
2026-01-01,동대문구,전농동,청량리역롯데캐슬 SKY-L65,196000,25.711044559397404,7623.183085665878,27.0,2023.0,3.0
2026-01-01,강서구,염창동,태영,79000,18.14139214084763,4354.682341170585,10.0,1999.0,27.0
2026-01-01,은평구,대조동,모아아파트(103동),41700,12.859606134857973,3242.712067748765,12.0,2015.0,11.0
2026-01-01,중랑구,신내동,동성1,49300,17.968962700789547,2743.6196969696966,2.0,1993.0,33.0
2026-01-01,성북구,삼선동3가,삼선에스케이뷰,127000,25.698036724445657,4942.01177163037,2.0,2012.0,14.0
2026-01-01,양천구,신월동,양천벽산블루밍1단지,74800,25.64358532232205,2916.908812079745,8.0,2006.0,20.0
2026-01-01,영등포구,여의도동,시범,280000,23.970717245969084,11680.918727915194,2.0,1971.0,55.0
2026-01-01,양천구,신월동,양천벽산블루밍1단지,62800,18.14744229663914,3460.542757126187,4.0,2006.0,20.0
2026-01-01,은평구,갈현동,효민아크로뷰,68800,14.438696796442509,4764.9729729729725,19.0,2024.0,2.0
2026-01-01,동대문구,휘경동,휘경베스트빌현대,63500,18.12626675136885,3503.203437917223,22.0,2000.0,26.0
2026-01-01,동대문구,답십리동,답십리대우,88000,18.077865505036755,4867.831325301205,21.0,2002.0,24.0
