대여소번호,대여소명,전체이용건수,평일출근시간이용건수(7-9시),평일퇴근시간이용건수(17-19시),주말이용건수
"2715","2715.마곡나루역 2번 출구",173645,37531,42945,35006
"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",122673,15850,36630,31317
"2728","2728.마곡나루역 3번 출구",121698,24221,30696,19691
"2701","2701. 마곡나루역 5번출구 뒤편",114953,41240,26959,16553
"5515","5515.한강버스 망원 선착장",97178,2477,14333,42817
"1153","""1153. 발산역 1번, 9번 인근 대여소""",96067,11272,18663,21977
"230","230. 영등포구청역 7번출구",90789,19004,19217,18943
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",88882,10099,17484,28850
"2622","2622. 올림픽공원역 3번출구",79556,10549,16141,24539
"2608","2608. 송파구청",79455,8444,18790,22675
"1124","1124. 발산역 6번 출구 뒤",72977,8440,16093,18731
"1911","1911. 구로디지털단지역 앞",70484,12588,17379,15256
"792","792.목동트라팰리스 웨스턴에비뉴",70074,2476,14179,20140
"769","769.CBS방송국 앞",69556,3096,17054,21890
"4217","4217. 한강공원 망원나들목",69466,3393,9963,27361
"3533","3533. 건대입구역 사거리(롯데백화점)",68937,6295,13138,20609
"247","247. 당산역 10번출구 앞",67725,9277,16523,16637
"785","""785.양천구청, 보건소 사잇길""",67616,4734,16311,16048
"4870","4870. 몽촌토성역 3번 출구",67510,7593,13225,18680
"272","272. 당산육갑문",67379,6341,13233,21863
"1160","1160. 양천향교역 7번출구앞",67279,11227,13835,14595
"1166","1166. 강서구립등빛도서관",67255,14860,10681,16184
"3939","3939.신도림역 3번출구",67072,7366,20285,16485
"5052","5052. 마곡역 7번출구",66948,13873,17656,12349
"765","765. 오목교역 3번출구",66480,5130,13856,19363
"4565","4565. 영등포 신세계백화점",66307,3349,15664,22244
"2102","2102. 봉림교 교통섬",65867,4385,11018,20677
"5768","5768.방이삼거리",64144,6650,11209,17926
"2733","2733.마곡13단지 정문 앞",63937,19670,7147,14560
"3798","3798. 그랜드아이파크아파트 앞",63748,17251,9914,14419
"583","583. 청계천 생태교실 앞",62641,5237,10310,22958
"2721","2721.등촌1-10단지 교차로",62188,15675,13075,11807
"5891","5891.한강버스 여의도 선착장",61488,837,10765,26264
"5082","5082. 가양역 7번출구",61448,8444,15373,13459
"2620","2620. 송파나루역 4번 출구옆",61183,8321,10639,17390
"529","529. 장한평역 8번 출구 앞",60925,15391,13523,10446
"1050","1050.  둔촌역 3번 출입구",60119,8242,10510,15189
"113","113. 홍대입구역 2번출구 앞",59869,7195,16839,13647
"1906","1906. 신도림역 1번 출구 앞",59498,13084,15252,13357
"1151","1151. 마곡역1번출구",59399,10580,14417,12449
"5858","5858. 영등포역5번출구",59215,11977,9522,15584
"3534","3534. 건대입구역 5번출구 뒤",58808,6405,10722,15939
"5153","5153.한강버스 뚝섬 선착장",58351,1188,10327,23905
"508","508. 성수아카데미타워 앞",57587,14798,14242,9182
"1009","1009. 천호역4번출구(현대백화점)",57506,4566,14003,16393
"1867","1867.대륭포스트타워6차 앞",56544,10846,20542,7516
"2717","2717.LG유플러스 마곡사옥",56514,4110,27175,4611
"1222","1222. 잠실새내역 5번 출구 뒤",55811,5087,10775,15798
"781","781.신정보도육교 아래",55742,15176,7785,13542
"3518","3518. 군자역 7번출구뒤",55695,10080,11586,12530
"1625","1625. 상계역 3번출구",55091,8151,9421,13974
"4574","4574. 영등포시장역 포레나영등포",54936,9107,11367,13210
"1112","1112. 마곡엠밸리4단지 정문",54666,7179,11168,13018
"1152","1152. 마곡역교차로",54446,7831,14814,10355
"4543","4543. 오목교역 6번 출구",53602,6509,12880,13489
"2739","2739.수명산파크1단지교차로",53373,15205,6973,11926
"4457","4457. 아산병원 기숙사 부근",53097,3544,15640,8567
"726","726. 목동3단지 시내버스정류장",52964,11717,7617,13247
"585","585. 성수2가1동 공영주차장 인근",52416,8506,9680,14369
"797","797.목동아파트 1422동 1434동 사잇길",52209,11270,8009,13515
"708","708. 서울출입국관리사무소 앞",52154,7270,10462,12530
"5784","5784.한강버스 잠실 선착장",51916,1625,7522,24040
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",51646,10806,8355,12228
"3569","3569.건대병원후문",51584,7456,9348,11168
"4571","4571. 문래동롯데캐슬아파트",51277,12442,9487,11654
"1158","1158. 가양역 8번출구",51228,7541,11021,11453
"1190","1190. 마곡역 교차로(2번출구)",51145,6189,13143,11983
"770","770.목동역5번출구",50444,7563,11630,9877
"1078","1078.둔촌사거리",49945,7191,7127,15458
"5781","5781. 올림픽공원 수영장",49519,7562,6366,11436
"4561","4561. 양평역 1번출구",49418,12586,10463,9897
"3780","3780. 등촌서광아파트",49309,11197,7758,11903
"240","240. 문래역 4번출구 앞",48986,10085,10930,10452
"1020","1020. 강동경찰서",48978,9883,7768,9830
"1925","1925. 동양미래대학교 정문 옆",48965,6598,7521,13120
"5651","5651.한강버스 옥수 선착장",48408,1843,9067,19084
"1167","1167. 마곡수명산파크3단지 교차로",48269,11927,7364,11482
"1601","1601. 석계역 문화광장 내 자전거 보관소",48192,4709,10508,11461
"3681","3681. 길동 마루빌딩",48138,5784,8213,13375
"207","207. 여의나루역 1번출구 앞",47872,4473,11375,15189
"209","209. 유진투자증권빌딩 앞",47705,2420,17419,11453
"5061","5061. 우장산동 가곡어린이공원앞",47558,6724,7490,12071
"1184","1184. 마곡13단지",47319,15621,5526,10976
"3668","3668. 성내삼성아파트",47247,10135,7284,11438
"1084","1084. 윤선생빌딩(JYP사옥)",46577,5376,11627,11353
"746","746. 목동2단지 상가",46240,2667,8333,14832
"1157","1157. 강서구청",46181,13367,7786,9111
"243","243. 이앤씨드림타워 앞",46132,5137,11640,10786
"1608","1608. 공릉역 1번 출구 앞",46131,5835,9464,10178
"1044","1044. 굽은다리역",46104,5723,7899,12428
"4940","4940.한강버스 압구정 선착장",46092,1298,8357,20197
"787","787.양천아파트 입구",46086,13055,6548,10702
"3571","3571.화양 APT(횡단보도 옆)",45986,8639,8236,10310
"4531","4531. 목동아파트 613동 앞",45950,10291,6377,12679
"4029","4029. 청소년수련관 후문",45915,9352,5776,12347
"4137","4137. 답십리역 4번출구",45845,5399,11524,10393
"2639","2639.석촌역 8번출구",45582,7550,9230,10914
"263","263. 근로자회관 사거리",45137,5820,10434,10430
"1117","1117. 등촌5단지아파트 버스정류장",45000,6543,8904,9777
"2719","2719.마곡문화공원",44848,4498,18468,5859
"202","202. 국민일보 앞",44756,3946,16104,9553
"4508","4508. 유원목동아파트 103동 앞",44528,6187,6974,10923
"1295","1295. 잠실역 8번출구",44519,3004,10696,12601
"5096","5096. LG사이언스파크 E14동",44505,4127,25012,976
"1011","1011. LIGA 아파트 앞",44309,7658,7111,10755
"1173","1173. 강서구청사거리(SH타워)",44097,11201,6257,10478
"795","795.양천 해누리타운",44085,5297,8938,9763
"1149","1149. 신방화역환승주차장",44051,5484,9549,10568
"3680","3680. 강동역3번출구",43786,7617,8704,9469
"1191","""1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)""",43710,4392,9555,11050
"2628","2628.문정역 1번출구",43514,6904,9285,8971
"2646","2646.레이크펠리스101동앞",43374,5874,6531,12555
"1985","1985. 구로도서관",43317,7373,6960,10797
"779","779. 신정1동 주민센터 앞",43270,6530,7640,11639
"1182","1182. KBS 스포츠월드",43259,9550,7102,8005
"3219","3219.영등포역 1번출구",43185,7528,9706,11046
"217","217. NH농협은행 앞",43039,4786,15917,5461
"1637","1637. KT 전화국 버스정류장 옆",42925,2563,9189,12266
"4452","4452. 삼성SDS",42597,2807,17845,6137
"703","703. 오목교역 7번출구 앞",42528,5887,10858,9724
"3881","3881. 신자초교입구 교차로",42468,9598,5263,11300
"1024","1024.  강동구청 앞",42209,5775,9272,9592
"5080","5080. 가양역 1번출구",42174,7507,9036,9268
"431","431. 청계천 영도교",42101,6271,5941,10367
"2136","2136. 신림역 8번출구",41976,3443,6650,12118
"1209","1209. 잠실나루역 (2번 출구 쪽)",41960,8354,10266,8895
"5074","""5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)""",41860,6235,8619,8440
"4233","4233. 코오롱아파트사거리",41838,6612,6849,11499
"2824","2824.미래사랑어린이공원 앞",41804,5142,10703,10337
"228","228. 선유도역 3번출구 앞",41758,4745,8437,12291
"4897","4897. 잠실주공5단지1",41740,11772,4894,11206
"1684","1684. 태릉입구역 5번출구",41679,2780,8696,10888
"3575","3575. 자양사거리(서원빌딩)",41602,4735,7063,10859
"5882","5882. 휴젠느",41285,10823,6522,10202
"996","996.응암역2번출구 국민은행 앞",41248,3683,8275,11451
"3511","3511. 응봉역 1번출구",41189,4961,5598,14719
"907","907. CJ 드림시티",41059,3839,6792,12417
"2219","""2219. 고속터미널역 8-1번, 8-2번 출구 사이""",41028,2305,9076,13373
"853","853.용산역 맞은편",40797,2377,7857,14407
"744","744. 신목동역 2번 출구",40741,7620,10020,8030
"1264","1264. 천호역 10번 출구 앞",40738,6028,9776,10032
"5070","5070. 마곡13단지힐스테이트마스터 후문(1320동 앞)",40631,12800,4827,9223
"584","584. 광진광장 교통섬",40596,9982,5922,8180
"5867","5867. H타워 앞",40583,14139,8223,7780
"4509","4509. 서울영상고교 입구",40395,7021,5305,10007
"4540","4540. 목동역 3번 출구",40301,4915,9430,8664
"245","245. 삼성생명 당산사옥 앞",40168,6939,8782,8167
"2623","2623.석촌동 주민센터",40120,7462,6318,10805
"2621","2621. 한성백제역 2번 출구",40094,4357,6535,14507
"5870","5870. LG트윈타워 앞",39905,4204,11530,9018
"4547","4547. 목동역 2번 출구",39903,3844,7983,9961
"1653","1653. 노원역1번출구",39830,2847,9292,11088
"280","280. 양평동6차현대아파트 앞",39736,11105,4848,9347
"4515","4515. 동문굿모닝탑",39680,4578,6061,11193
"1106","1106. 신방화사거리",39587,7492,6839,9917
"631","631. 답십리역 1번출구",39342,7321,8872,7824
"1010","1010. 강동세무서",39256,5086,7531,9513
"5866","5866.포레나 당산",39226,2932,8326,10840
"1650","1650. 중계근린공원내",39150,5245,6256,10852
"4865","4865. 한성백제역 1번출구 뒤",39097,6707,6874,10458
"2723","2723.마곡 필네이처",39086,7238,9251,7472
"1118","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)",39073,5942,10216,7939
"5862","5862. 당산역11번출구",39067,7629,9082,8632
"236","236. 문래동자이아파트 앞",38995,6058,5832,10406
"4514","4514. 목동성당 앞",38862,6120,5004,10723
"4108","4108. 답십리파크자이아파트 앞",38850,10394,4820,9393
"1029","1029. 성내어울터",38449,2279,7437,11443
"731","731. 서울시 도로환경관리센터",38340,3459,8243,11593
"3202","3202.당산롯데캐슬프레스티지",38309,8168,6006,9989
"2919","2919.등나무 근린공원(시립북서울미술관 앞)",38293,2559,7149,11180
"793","793.목동5단지아파트 534동",38209,3997,6114,11117
"788","788.양천구청역 2번출구 옆",38130,5207,11643,7433
"791","791.현대하이페리온",38084,3192,6570,10586
"1293","1293. 석촌호수 서호 사거리",38081,6027,6324,10282
"2720","2720.힐스테이트에코",38052,5442,8577,7885
"3010","3010.홍대입구역 3번출구",38015,4638,8159,10178
"3509","3509. 세종사이버대학교",37980,8436,5868,8573
"3784","3784. 벽산아파트",37956,9304,5190,10081
"275","275. 신동아아파트",37953,7065,6768,8786
"102","102. 망원역 1번출구 앞",37930,4114,6742,10634
"1297","1297. 석촌호수교차로(동호 팔각정 앞)",37867,4468,6265,11580
"1008","1008. 암사역 3번출구(국민은행앞)",37812,5471,6171,10141
"1231","1231. 잠실역 6번출구",37792,3130,9340,10498
"3772","3772. 길성그랑프리텔아파트",37772,7985,6469,9202
"1674","1674. 서울북부고용센터앞",37530,2787,7993,8190
"794","794.양천문화회관",37435,6755,5365,10238
"565","565. 옥수역 3번출구",37283,3520,7710,11514
"4868","4868. 석촌호수 서호 남단",37250,8106,6792,8527
"931","931. 역촌파출소",37199,8359,5317,9052
"780","780.신정교 하부",37098,4926,4942,12905
"259","259. 대방역6번출구",36877,12647,4908,7783
"755","755. 목동1단지아파트 상가 앞",36836,3820,6916,9945
"1668","1668. 중계역 6번출구",36659,4240,7800,9505
"2704","2704.홈플러스(강서점)",36599,6843,7171,7354
"1103","1103. 방화역 4번출구앞",36427,5298,6145,9211
"1192","1192. 마곡수명산파크 209동 건너편",36331,10577,4596,8223
"734","734. 신트리공원 입구",36220,8924,5418,9127
"670","670.삼육서울병원 버스정류장",36218,3201,6615,9352
"2708","2708.강서한강자이타워 앞",36216,3932,9881,7444
"419","419. 홈플러스 마포점 앞",36010,1831,7013,12180
"1611","1611. 과기대 입구(우)",35973,2629,6671,8795
"602","602. 장안동 사거리",35880,3393,6241,9385
"2641","2641.송파역 4번출구",35803,3903,6934,9232
"232","232. 양평우림 이비즈센타 앞",35725,6635,8978,6953
"361","361. 동묘앞역 1번출구 뒤",35677,4772,5362,9090
"4535","4535. 목동12단지 아파트",35650,8333,4934,10134
"3789","3789. 염창나들목",35579,6987,4323,11605
"1908","1908. 해원리바파크 육교 밑",35460,8933,6834,8707
"5095","5095. 원당근린공원",35410,5201,6329,9585
"147","147. 마포역 4번출구 뒤",35286,4198,8451,9561
"3600","3600.사근빗물펌프장 건너편",35283,3731,5869,9886
"1113","1113. 서남환경공원 버스정류장",35265,9048,4635,8900
"5333","5333. 노원역9번-10번 출구 앞",35229,1787,8044,9586
"290","290. 새말소공원",35200,8414,5656,7016
"2002","2002. 노들역 1번출구",35169,3801,5524,12506
"2176","2176. 보라매공원 보도육교",35163,6099,4834,10261
"1232","1232. 잠실주공 521동 건너편",35111,2186,7841,10875
"2377","2377. 수서역 5번출구",35048,3918,9503,8271
"4553","4553. 당산삼성2차아파트",35013,8118,5691,7859
"383","383. 신당역 12번 출구 뒤",34955,3693,5451,8438
"2744","2744.강서세무서 앞",34944,8443,5579,7489
"6058","6058. 시청역 2번출구",34914,9096,8584,5161
"1150","1150. 송정역 1번출구",34775,5832,6910,7868
"283","283. 아크로타워 스퀘어(영등포시장)",34651,8580,4713,8239
"3664","3664. 맥도날드 서울둔촌DT점 앞",34342,4621,5811,8895
"2707","2707.한강아파트",34342,8602,4545,8160
"1012","1012. 천호역효성해링턴타워 앞",34325,3775,6419,8662
"5883","5883. 영문초사거리",34310,4293,6942,8427
"1180","1180. 마곡엠밸리 15단지(1502동) 건너편",34233,6032,6864,6853
"1251","1251. 석촌역 2번출구",34142,3435,6368,9909
"278","278. 쌍용플레티넘오피스텔",34114,4717,5218,9860
"117","117. 홍은사거리",34067,3960,6545,9860
"648","648. 장안동위더스빌옆",33994,7870,5309,7853
"1946","1946. 구로역 광장",33888,6815,8994,6033
"5887","5887.나루마을 마당공원",33887,9848,5015,8213
"2637","2637. 아시아지하보도 14번 출구",33792,2774,6724,9491
"6177","6177. 마곡롯데캐슬르웨스트",33687,7423,5830,7150
"1914","1914. 대림역4번출구",33618,6140,6989,7405
"1308","1308. 안암로터리 버스정류장 앞",33562,1404,7339,8313
"296","296.KT플라자 영등포점",33379,6709,5403,8172
"5752","5752. 풍납백제문화공원 옆 인근",33268,6897,3929,9712
"2718","2718.마곡수명산파크1단지",33237,9943,3745,7148
"3570","3570.구의역 리버비스타 오피스텔",33180,3043,5782,9421
"415","415. DMC역 9번출구 앞",33134,6802,8978,5342
"206","206. KBS 앞",33082,2444,11205,7233
"1662","1662. 노원역7번출구",33003,1426,8775,8606
"3536","3536. 중앙농협(자양동)",32978,6604,4514,8978
"3410","3410.종로3가역 8번출구",32846,4513,7212,5406
"2745","2745.수명초등학교",32843,10857,3387,6085
"735","735. 영도초등학교",32826,7144,4220,9052
"1193","1193. 마곡센트럴타워 1차",32767,1045,10278,5738
"1163","1163. 방화동강서기동대앞",32744,7729,4229,7724
"1655","1655. 공릉1단지아파트",32689,6022,4251,8396
"3504","3504. 원일교회",32489,4552,4519,9216
"1111","1111. 마곡엠밸리6_7단지 마곡중학교",32457,4876,4888,8886
