순위,전체_대여소번호,전체_대여소명,전체_이용건수,출근_대여소번호,출근_대여소명,출근_이용건수,퇴근_대여소번호,퇴근_대여소명,퇴근_이용건수,주말_대여소번호,주말_대여소명,주말_이용건수
1,"2715","2715.마곡나루역 2번 출구",173645,"2701","2701. 마곡나루역 5번출구 뒤편",41240,"2715","2715.마곡나루역 2번 출구",42945,"5515","5515.한강버스 망원 선착장",42817
2,"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",122673,"2715","2715.마곡나루역 2번 출구",37531,"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",36630,"2715","2715.마곡나루역 2번 출구",35006
3,"2728","2728.마곡나루역 3번 출구",121698,"2728","2728.마곡나루역 3번 출구",24221,"2728","2728.마곡나루역 3번 출구",30696,"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",31317
4,"2701","2701. 마곡나루역 5번출구 뒤편",114953,"2733","2733.마곡13단지 정문 앞",19670,"2717","2717.LG유플러스 마곡사옥",27175,"502","502. 자양(뚝섬한강공원)역 1번출구 앞",28850
5,"5515","5515.한강버스 망원 선착장",97178,"230","230. 영등포구청역 7번출구",19004,"2701","2701. 마곡나루역 5번출구 뒤편",26959,"4217","4217. 한강공원 망원나들목",27361
6,"1153","""1153. 발산역 1번, 9번 인근 대여소""",96067,"3798","3798. 그랜드아이파크아파트 앞",17251,"5096","5096. LG사이언스파크 E14동",25012,"5891","5891.한강버스 여의도 선착장",26264
7,"230","230. 영등포구청역 7번출구",90789,"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",15850,"1867","1867.대륭포스트타워6차 앞",20542,"2622","2622. 올림픽공원역 3번출구",24539
8,"502","502. 자양(뚝섬한강공원)역 1번출구 앞",88882,"2721","2721.등촌1-10단지 교차로",15675,"3939","3939.신도림역 3번출구",20285,"5784","5784.한강버스 잠실 선착장",24040
9,"2622","2622. 올림픽공원역 3번출구",79556,"1184","1184. 마곡13단지",15621,"230","230. 영등포구청역 7번출구",19217,"5153","5153.한강버스 뚝섬 선착장",23905
10,"2608","2608. 송파구청",79455,"529","529. 장한평역 8번 출구 앞",15391,"2608","2608. 송파구청",18790,"583","583. 청계천 생태교실 앞",22958
11,"1124","1124. 발산역 6번 출구 뒤",72977,"2739","2739.수명산파크1단지교차로",15205,"1153","""1153. 발산역 1번, 9번 인근 대여소""",18663,"2608","2608. 송파구청",22675
12,"1911","1911. 구로디지털단지역 앞",70484,"781","781.신정보도육교 아래",15176,"2719","2719.마곡문화공원",18468,"4565","4565. 영등포 신세계백화점",22244
